,strategy,factor,CAGR,daily_sharpe,max_drawdown,avg_drawdown,win_ratio,ytd,MA,std
132,p_40_0_1_v_5_0_6,居家生活&ps,0.0010151832033460373,137.55,-0.35438224864419365,-0.14673862858675113,0.45714285714285713,0.0,40,0.6
133,p_40_0_1_v_5_0_7,居家生活&ps,-0.0007750085445710209,135.85,-0.3598999137646822,-0.14789722610819284,0.47058823529411764,0.0,40,0.7
134,p_40_0_1_v_5_0_8,居家生活&ps,0.005232096253263929,123.53,-0.4583842764372953,-0.24224020330229612,0.5,0.0,40,0.8
135,p_60_0_1_v_5_0_4,居家生活&ps,0.020459804891751476,107.42,-0.3703333070748148,-0.17069390878341015,0.55,0.0,60,0.4
136,p_60_0_1_v_5_0_5,居家生活&ps,0.020459804891751476,107.42,-0.3703333070748148,-0.17069390878341015,0.55,0.0,60,0.5
137,p_60_0_1_v_5_0_6,居家生活&ps,0.020259431555129437,108.15,-0.3703333070748148,-0.17066848640063698,0.5365853658536586,0.0,60,0.6
138,p_60_0_1_v_5_0_7,居家生活&ps,0.020699670724179553,115.5,-0.37033330707481515,-0.1761227878916751,0.525,0.0,60,0.7
139,p_60_0_1_v_5_0_8,居家生活&ps,0.020699670724179553,115.5,-0.37033330707481515,-0.1761227878916751,0.525,0.0,60,0.8
140,p_80_0_1_v_5_0_4,居家生活&ps,0.023293436619092667,80.12,-0.3703333070748148,-0.1707605262366084,0.5757575757575758,0.0,80,0.4
141,p_80_0_1_v_5_0_5,居家生活&ps,0.023293436619092667,80.12,-0.3703333070748148,-0.1707605262366084,0.5757575757575758,0.0,80,0.5
142,p_80_0_1_v_5_0_6,居家生活&ps,0.021731169936659134,83.68,-0.3703333070748148,-0.17345403265327064,0.5588235294117647,0.0,80,0.6
143,p_80_0_1_v_5_0_7,居家生活&ps,0.018049969388351572,89.56,-0.3703333070748148,-0.1811038454431502,0.5428571428571428,0.0,80,0.7
144,p_80_0_1_v_5_0_8,居家生活&ps,0.024453069889895707,92.18,-0.3703333070748148,-0.16636062002785737,0.55,0.0,80,0.8
145,p_100_0_1_v_5_0_4,居家生活&ps,0.010608786555092564,92.22,-0.3808266273351233,-0.1692821653029622,0.5517241379310345,0.0,100,0.4
146,p_100_0_1_v_5_0_5,居家生活&ps,0.010608786555092564,92.22,-0.3808266273351233,-0.1692821653029622,0.5517241379310345,0.0,100,0.5
147,p_100_0_1_v_5_0_6,居家生活&ps,0.009065885584843114,97.18,-0.3808266273351233,-0.17197567171962438,0.5333333333333333,0.0,100,0.6
148,p_100_0_1_v_5_0_7,居家生活&ps,0.005430316855425055,105.43,-0.3808266273351233,-0.17962548450950405,0.5161290322580645,0.0,100,0.7
149,p_100_0_1_v_5_0_8,居家生活&ps,0.021597394897332478,96.59,-0.3808266273351234,-0.1693074966876799,0.5526315789473685,0.0,100,0.8
